# k/h, pb22, pb2delta, pb2theta, pbs2delta, pbs2theta, pb2s2, pbs22, sigma23
3.235858585858585879e-01 5.579484745392370542e+02 2.653806053959547739e+02 1.441676022761137403e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.918716549215342404e-01
3.286262626262626552e-01 5.634115571757067755e+02 2.647394268719946808e+02 1.447522271213807130e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.016540351069711079e-01
3.336666666666666670e-01 5.687611327238281547e+02 2.627245636022030340e+02 1.439521335298858844e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.113527819098781624e-01
3.387070707070707343e-01 5.740012340524214096e+02 2.619307617646870199e+02 1.443730297592005059e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.209680775242076622e-01
3.437474747474747461e-01 5.791598768510490345e+02 2.614968732994447578e+02 1.451342604114874177e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.304993574952548530e-01
3.487878787878788134e-01 5.842023809497395632e+02 2.570441513696861193e+02 1.418730871803157356e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.399473629596688973e-01
3.538282828282828252e-01 5.891187592656664265e+02 2.566843350267698156e+02 1.426933737406371279e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.493115644443393286e-01
3.588686868686868925e-01 5.940245977588774622e+02 2.560796170635743465e+02 1.432574180409496876e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.585924062186029104e-01
3.639090909090909043e-01 5.987958093732718226e+02 2.541840697284894475e+02 1.425118897479879649e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.677907874933863619e-01
3.689494949494949716e-01 6.035031910483500042e+02 2.540880613802492007e+02 1.435575665950756843e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.769061846022895512e-01
